maybe you've thought about them , too .	也許你認為 ,
this is not a real incision .	這不是真正的
because the data just doesn't lie .	因為數據不僅僅 。
that's what broke my heart .	這是我的心臟 。
but there's an important caveat .	但有重要的 。
so to do that , it's easy .	所以 , 它很簡單 。
you're very happy about this part .	你很興奮
it didn't exactly work out that way .	沒錯 。
or how about 'ball' ? "	或者怎麼 ?
you know , i bet you are too .	你知道 , 我太多 。
it's a difficult place to work in .	它很困難 。
who is going to take care of my child ?	誰會幫我的孩子 ?
why do you feel sorry for them ?	為什麼你感覺 ?
most girls end up pregnant .	大部分的女孩 。
your parents were peaceful people .	你父母的父母 。
let's talk about a few of them .	讓我們談他們 。
that's power if i ever saw it .	如果我看到它 。
i witnessed killing . . .	我希望死了
but it hasn't always been easy .	但 , 很容易 。
that's the operative word .	這句話 。
now , the recession .	現在 。
the mechanism isn't clear .	對我來說不明顯 。
a terrorist attack .	阿拉拉拉拉克 。
they hoped that other people would do so .	他們希望其他人 。
it's on this side of the brain .	它是大腦 。
" did anybody hear that ? "	「 有人聽過 ? 」
and within it , the amazement .	此外 , 它是1.
on some days , i could do no work .	幾天 , 我可以做 。
brownway: good morning .	克里斯:好 。
it's not too difficult to do that .	它不太困難
how many followers have i gained ?	多少人有多少人 ?
today's its debut .	今天 。
and we have taken pictures like this .	我們有照片 。
tw: show me the data .	克:我看看數據
thank you very much for your attention .	謝謝你們 。
and we're going to do it .	我們要做 。
well , wait a minute .	等等等
he doesn't need adam .	他不需要 。
so , how did it just do that ?	所以 , 怎麼做 ?
there he's starting to walk .	他開始走 。
and here are the ducks again .	這樣
you see how this works , right ?	你看到這個工作 , 對吧 ?
and be clearheaded about it .	顯然 。
show me the evidence . "	我展示了 。 」
we thought of people as a liability .	我們以為人們 。
he called them " partons . "	他說: 「 一部分 。 」
we actually have to do something about it .	實際上 , 我們必須做的 。
and the other way is to share stories .	其他方法是分享的故事
so here's the quiz .	這裡
that is how our women dress .	這是女性 。
i've been that ahole .	我一直過 。
we should retain those people .	我們需要這些人 。
and this is where the story begins .	這是故事 。
and so this is what i tell them .	我告訴他們 。
it's just the way it is .	它只是
it did have a ram pack .	它有一路 。
ninetyseven percent .	9%
hk: yay .	克:謝謝
and yeah , we're there .	嗯 , 我們有機會 。
now let's look to the future .	讓我們看看未來
and they masturbated .	牠們很大 。
that's in the united states .	這是美國 。
that's what i want to know .	這是我想要的
we're talking about our mind .	我們談到我們 。
and he showed her the lever .	他看到她 。
i don't know the answers .	我不知道 。
right ? how do you capture that ?	你怎麼做 ?
we got to our campsite .	我們必須把我們的網站 。
he talked to me about his children .	他談到他的孩子
now people had to take an action .	現在人們必須做一個選擇
that's an easy question , right ?	這很簡單 , 對吧 ?
what about the rest of the pie ?	什麼 ?
nn: thank you for asking .	:謝謝謝
why am i telling you this story ?	為什麼我告訴各位 ?
now we say , oh , my god .	我們說 , 喔 。
" will my kid be all right ? "	「 我孩子們 ? 」
the greenest class in new york city .	在紐約 , 紐約 。
can never tell if it's on .	不能告訴你 。
phone: hey , where are you ?	電話: 「 你在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音
oh , look how it lies there .	喔 , 看看 。
gone , gone , gone .	後來 , 去 。
the answer is: a power plant .	答案是 , 系統 。
that's a great arm protection !	很棒 !
i write for those same reasons .	我寫這些原因
everybody: i am my connectome .	大家:我對我的連結 。
so what happened in colombia ?	所以發生什麼 ?
what will brain theory look like ?	看看大腦 ?
titans need not apply .	克服不需要 。
" and you know , how about us ?	你知道嗎 ?
women lie more to protect other people .	女性需要保護其他人 。
so , how cheap is it ?	所以 , 怎麼辦 ?
this fish actually has high beams .	魚其實有高高
and i remember thinking , this is it .	我記得 , 這樣 。
monkey has like you have .	像你一樣 。
bg: don't go away .	克:不停 。
and we need to do their work now .	我們現在需要工作 。
and it looked kind of like this .	它看起來像這樣
" why do you invest in new ideas ?	「 為什麼新想法 ?
do you have safe housing ? "	你有安全 ? 」
light is incredibly fast .	光是很快
and the light goes through that hole .	光上 , 光線 。
you can wait as long as you want .	你可以等等等 。
i'm going to show you this .	我要給各位 。
a person can never be broken .	有人沒錯 。
and number four: find joy .	第四:
people don't build anything this way .	人們不建造任何方法
see , i'm an artist .	我看到一個藝術家
we did the design for that 2008 .	我們設計了2008年 。
what if you just see or hear it ?	如果你看什麼 ?
we are in excellent company .	我們是公司 。
these are quadcopters .	這些數字都沒錯
one is that we are always teaching .	其中是我們的老師 。
and i finally have stabilized .	最後 , 我有機會 。
that's a little bit scary .	這是很小的 。
what about energy conservation ?	能源呢 ?
now i think it's too easy .	現在我很容易 。
they’re thinking about the same things .	他們的思考 。
fellas , we are the problem .	女性 , 我們是問題 。
i flew here yesterday .	我在這裡 。
he even reached 105 meters .	甚至在205年 。
most people fled abroad .	大部分人 。
and sometimes they just capture stars .	有時候他們只是星球 。
and it's a madeup word .	它是一名字
