maybe you've thought about them , too .	或許你認為 , 太多了 。
this is not a real incision .	這不是真正的真實 。
because the data just doesn't lie .	因為數據並不定義 。
that's what broke my heart .	這就是我的心臟 。
but there's an important caveat .	但有很重要的貓 。
so to do that , it's easy .	為了做這件事 , 很容易 。
you're very happy about this part .	你很快樂這部分 。
it didn't exactly work out that way .	不是真的 。
or how about 'ball' ? "	或者說: 「 你要如何 ? 」
you know , i bet you are too .	你知道 , 我太多了 。
it's a difficult place to work in .	很難在工作中工作 。
who is going to take care of my child ?	誰要照顧我的兒子 ?
why do you feel sorry for them ?	為什麼你覺得很抱歉 ?
most girls end up pregnant .	最小女孩終結婚 。
your parents were peaceful people .	你的父母是很棒的人 。
let's talk about a few of them .	咱們來談談一些 。
that's power if i ever saw it .	如果我看到它的力量 。
i witnessed killing . . .	我妻子被殺害 。
but it hasn't always been easy .	但它沒有那麼簡單 。
that's the operative word .	這就是 「 選擇 」 的詞 。
now , the recession .	現在 , 資源 。
the mechanism isn't clear .	墨西主義並不是很清楚的 。
a terrorist attack .	恐怖攻擊攻擊 。
they hoped that other people would do so .	他們希望 , 其他人會這樣做 。
it's on this side of the brain .	這是大腦的另一邊 。
" did anybody hear that ? "	「 任何人聽過嗎 ? 」
and within it , the amazement .	在這個過程中 , 一個零件 。
on some days , i could do no work .	某天 , 我無法做工作 。
brownway: good morning .	布朗:好的媽 。
it's not too difficult to do that .	很難做這件事 。
how many followers have i gained ?	多少人有收集嗎 ?
today's its debut .	今日 , 它摧毀了 。
and we have taken pictures like this .	我們拍攝影像 。
tw: show me the data .	布:給我數據 。
thank you very much for your attention .	謝謝各位
and we're going to do it .	我們要做這件事 。
well , wait a minute .	等一下 , 等等一下 。
he doesn't need adam .	他不需要一個家庭 。
so , how did it just do that ?	所以 , 怎麼做 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這裡是石頭 。
you see how this works , right ?	你看到這個工作 , 對吧 ?
and be clearheaded about it .	很明顯地 , 關於它 。
show me the evidence . "	我展示了證據 。 」
we thought of people as a liability .	我們認為人們有能力的能力 。
he called them " partons . "	他稱它們為 「 一部分 」 。
we actually have to do something about it .	我們必須做些事情 。
and the other way is to share stories .	另一種方式是分享的故事 。
so here's the quiz .	這裡是液液 。
that is how our women dress .	這就是我們女性的女性 。
i've been that ahole .	我已經經歷過這張照片
we should retain those people .	我們應該保持那些人 。
and this is where the story begins .	這是故事的開始 。
and so this is what i tell them .	所以 , 我告訴他們 。
it's just the way it is .	正是它的 。
it did have a ram pack .	它已經有一條較少的路徑 。
ninetyseven percent .	9%的9% 。
hk: yay .	嗯 , 阿拉伯:阿拉伯 。
and yeah , we're there .	嗯 , 我們有了 。
now let's look to the future .	讓我們看看未來的未來 。
and they masturbated .	牠們的生長 。
that's in the united states .	在美國 。
that's what i want to know .	這就是我想要知道的 。
we're talking about our mind .	我們談到我們的心臟 。
and he showed her the lever .	他展示了她的路徑 。
i don't know the answers .	我不知道答案 。
right ? how do you capture that ?	對嗎 ?
we got to our campsite .	我們得要去我們的貓貓 。
he talked to me about his children .	他跟我談到他的兒童 。
now people had to take an action .	人們必須拿一個行動 。
that's an easy question , right ?	這是很簡單的問題 , 對吧 ?
what about the rest of the pie ?	到底是什麼樣子呢 ?
nn: thank you for asking .	娜:謝謝你 。
why am i telling you this story ?	為什麼我告訴你們這個故事嗎 ?
now we say , oh , my god .	我們說 , 噢 , 我的神話 。
" will my kid be all right ? "	「 我的小孩都對嗎 ? 」
the greenest class in new york city .	紐約最綠色的教室 。
can never tell if it's on .	永遠不會告訴它 。
phone: hey , where are you ?	電話:他在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音 。
oh , look how it lies there .	噢 , 看看它的空間 。
gone , gone , gone .	去吧 , 去吧 !
