maybe you've thought about them , too .	也許你也想過 ,
this is not a real incision .	這不是真正的科學 。
because the data just doesn't lie .	因為數據不只是謊 。
that's what broke my heart .	這就是我的心臟 。
but there's an important caveat .	但有一個很重要的洞穴
so to do that , it's easy .	所以 , 這很容易 。
you're very happy about this part .	你很高興這部分
it didn't exactly work out that way .	沒錯 。
or how about 'ball' ? "	或者說 「 巴巴黎 」
you know , i bet you are too .	你知道 , 我也是你 。
it's a difficult place to work in .	很難在工作中工作
who is going to take care of my child ?	誰會照顧孩子 ?
why do you feel sorry for them ?	為什麼你覺得很抱歉 ?
most girls end up pregnant .	大部分女孩終止 。
your parents were peaceful people .	你父母很昂貴 。
let's talk about a few of them .	讓我們談一些人 。
that's power if i ever saw it .	如果我看過它 。
i witnessed killing . . .	我目睹了 。
but it hasn't always been easy .	但不總是容易 。
that's the operative word .	這是選擇的詞 。
now , the recession .	現在 , 資源 。
the mechanism isn't clear .	機械主義並不清楚
a terrorist attack .	恐怖攻擊 。
they hoped that other people would do so .	他們希望其他人會這麼做
it's on this side of the brain .	在大腦的邊緣 。
" did anybody hear that ? "	「 有人聽過嗎 ? 」
and within it , the amazement .	在它中 , 零件 。
on some days , i could do no work .	一天 , 我無法工作 。
brownway: good morning .	布朗:好的早晨 。
it's not too difficult to do that .	很難做到 。
how many followers have i gained ?	有多少跟我一起聚集 ?
today's its debut .	今日已經破壞了
and we have taken pictures like this .	我們拍了這樣的照片 。
tw: show me the data .	布:我展示資料 。
thank you very much for your attention .	謝謝你們 。
and we're going to do it .	我們要這麼做 。
well , wait a minute .	等一下 ,
he doesn't need adam .	他不需要家庭 。
so , how did it just do that ?	所以 , 怎麼做 ?
there he's starting to walk .	他開始走 。
and here are the ducks again .	重點再次 。
you see how this works , right ?	你知道這怎麼運作 ?
and be clearheaded about it .	很清楚 。
show me the evidence . "	給我證據 。 」
we thought of people as a liability .	我們認為人是能力的 。
he called them " partons . "	他稱他們為 「 粒 」 。
we actually have to do something about it .	我們真的必須做些事 。
and the other way is to share stories .	另一種方式就是分享故事 。
so here's the quiz .	這是液態 。
that is how our women dress .	這就是我們女性的飲食 。
i've been that ahole .	我曾經經歷過這張照片
we should retain those people .	我們應該維持這些人 。
and this is where the story begins .	故事開始 。
and so this is what i tell them .	所以我告訴他們 。
it's just the way it is .	只是這樣 。
it did have a ram pack .	它確實有種種族 。
ninetyseven percent .	9% 。
hk: yay .	啊 !
