maybe you've thought about them , too .	也許你也想過他們 , 也是這樣 。
this is not a real incision .	這不是真正的科學 。
because the data just doesn't lie .	因為數據不只是謊言 。
that's what broke my heart .	這就是我心碎的心靈 。
but there's an important caveat .	但有很重要的洞穴 。
so to do that , it's easy .	所以 , 這樣做 , 很容易 。
you're very happy about this part .	你很高興這部分 。
it didn't exactly work out that way .	這不正是這樣做 。
or how about 'ball' ? "	或者說: 「 巴巴巴拉怎麼辦 ? 」
you know , i bet you are too .	你知道 , 我也是你 。
it's a difficult place to work in .	很難在工作中工作 。
who is going to take care of my child ?	誰會照顧我的孩子 ?
why do you feel sorry for them ?	為什麼你會覺得很抱歉 ?
most girls end up pregnant .	大部分女孩終於懷孕 。
your parents were peaceful people .	你父母是和平的人 。
let's talk about a few of them .	我們來談一些問題 。
that's power if i ever saw it .	這就是我所見的力量 。
i witnessed killing . . .	我目睹殺人 。
but it hasn't always been easy .	但它不總是很容易 。
that's the operative word .	這是一個選擇的詞彙 。
now , the recession .	現在 , 警察 。
the mechanism isn't clear .	機械主義並不明顯 。
a terrorist attack .	恐怖攻擊 。
they hoped that other people would do so .	他們希望其他人會這樣做 。
it's on this side of the brain .	它在大腦的另一邊 。
" did anybody hear that ? "	「 有人聽過這嗎 ? 」
and within it , the amazement .	在它之中 , 零件 。
on some days , i could do no work .	幾天 , 我可以做不通 。
brownway: good morning .	布朗:好的早上 。
it's not too difficult to do that .	這不太難做到 。
how many followers have i gained ?	我收集了多少人 ?
today's its debut .	現今 , 它已經破壞了 。
and we have taken pictures like this .	我們拍攝像這樣的照片 。
tw: show me the data .	sw:讓我看看資料 。
thank you very much for your attention .	你對你的注意力非常感謝 。
and we're going to do it .	我們會這樣做 。
well , wait a minute .	等一下 , 等一下 。
he doesn't need adam .	他不需要家庭 。
so , how did it just do that ?	所以 , 該怎麼做 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這裡是鴨子 。
you see how this works , right ?	你看到這個工作 , 對吧 ?
and be clearheaded about it .	很明顯 。
show me the evidence . "	讓我看看證據 。 」
