maybe you've thought about them , too .	也許你也想過他們 , 也是 。
this is not a real incision .	這不是真正的科學 。
because the data just doesn't lie .	因為資料不僅是謊言 。
that's what broke my heart .	這是我的心靈 。
but there's an important caveat .	但還有一個很重要的洞穴 。
so to do that , it's easy .	為了這麼做 , 很簡單 。
you're very happy about this part .	你很高興這個部分 。
it didn't exactly work out that way .	這樣做不太好了 。
or how about 'ball' ? "	或是 「 巴巴拉 」 怎麼做呢 ? 」
you know , i bet you are too .	你知道 , 我也敢相信你是如此 。
it's a difficult place to work in .	它是很難在工作的地方 。
who is going to take care of my child ?	誰會在乎我的孩子嗎 ?
why do you feel sorry for them ?	為什麼你覺得很抱歉 ?
most girls end up pregnant .	大多數女孩終於懷孕了 。
your parents were peaceful people .	你的父母是和平的人 。
let's talk about a few of them .	咱們來談一些 。
that's power if i ever saw it .	如果我曾經見過它 。
i witnessed killing . . .	我目睹殺死了 。
but it hasn't always been easy .	但它不總是很簡單 。
that's the operative word .	這是典型的字 。
now , the recession .	現在 , 退休 。
the mechanism isn't clear .	機制並不清楚 。
a terrorist attack .	恐怖攻擊 。
they hoped that other people would do so .	他們希望其他人會這樣做 。
it's on this side of the brain .	它在大腦的另一端 。
" did anybody hear that ? "	「 有人聽過嗎 ? 」
and within it , the amazement .	在裡面 , 亞馬遜 。
on some days , i could do no work .	幾天 , 我不能做任何工作 。
brownway: good morning .	布朗克:早上 , 早上就好了 。
it's not too difficult to do that .	這不是太困難的 。
how many followers have i gained ?	有多少追蹤者 , 我收到多少人 ?
today's its debut .	現今 , 它是破壞的 。
and we have taken pictures like this .	我們拍攝了像這樣的照片 。
tw: show me the data .	史蒂芬:讓我看看資料 。
thank you very much for your attention .	非常感謝你的注意力 。
and we're going to do it .	我們會這樣做 。
well , wait a minute .	等一下 , 等一下 。
he doesn't need adam .	他不需要羞恥 。
so , how did it just do that ?	所以 , 怎麼做呢 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這裡是鴨子 。
you see how this works , right ?	你看到這個工作如何運作 , 對吧 ?
and be clearheaded about it .	很明顯地傳達它 。
show me the evidence . "	給我看證 。 」
we thought of people as a liability .	我們認為人們是自由的 。
he called them " partons . "	他把他們稱為 「 粒子 」 。
we actually have to do something about it .	我們真的必須做些什麼 。
and the other way is to share stories .	另一種方式是分享故事 。
so here's the quiz .	這裡是szz 。
that is how our women dress .	這是我們的女性乾燥 。
i've been that ahole .	我已經這樣做了 。
we should retain those people .	我們應該留下那些人 。
and this is where the story begins .	這是故事開始的地方 。
and so this is what i tell them .	所以 , 這就是我所說的 。
it's just the way it is .	只是這樣 。
it did have a ram pack .	它有很快的包裝 。
ninetyseven percent .	百分之九十 。
hk: yay .	哈克:yay 。
and yeah , we're there .	沒錯 , 我們就在那裡 。
now let's look to the future .	咱們來看看未來 。
and they masturbated .	他們很驚訝 。
that's in the united states .	這是美國的 。
that's what i want to know .	這是我想要知道的 。
we're talking about our mind .	我們在談我們的心智 。
and he showed her the lever .	他給她看了槓桿 。
i don't know the answers .	我不知道答案 。
right ? how do you capture that ?	對嗎 ? 你要如何捕捉這一點 ?
we got to our campsite .	我們去了我們的營地 。
he talked to me about his children .	他跟我談到他的兒童 。
now people had to take an action .	人們必須採取行動 。
