maybe you've thought about them , too .	也許你也想過 。
this is not a real incision .	這不是真正的科學 。
because the data just doesn't lie .	因為這些數據沒有謊言 。
that's what broke my heart .	這就是我的心 。
but there's an important caveat .	但有很重要的洞穴 。
so to do that , it's easy .	這樣做 , 很容易 。
you're very happy about this part .	你很高興 。
it didn't exactly work out that way .	沒辦法 。
or how about 'ball' ? "	或者 , 菸草呢 ? 」
you know , i bet you are too .	我也相信你們 。
it's a difficult place to work in .	這是一個困難的地方 。
who is going to take care of my child ?	誰會照顧我的小孩 ?
why do you feel sorry for them ?	為什麼你覺得很抱歉 ?
most girls end up pregnant .	大部分的女孩終於懷孕 。
your parents were peaceful people .	你的父母和平 。
let's talk about a few of them .	我們來談幾個 。
that's power if i ever saw it .	如果我見過它 。
i witnessed killing . . .	我目擊了 。
but it hasn't always been easy .	但這並不容易 。
that's the operative word .	這是典型的字 。
now , the recession .	現在 , 資源 。
the mechanism isn't clear .	機制並不清楚 。
a terrorist attack .	恐怖攻擊 。
they hoped that other people would do so .	他們希望其他人能做到 。
it's on this side of the brain .	這是大腦的一側 。
" did anybody hear that ? "	「 有人聽過嗎 ? 」
and within it , the amazement .	在這方面 , 意見 。
on some days , i could do no work .	幾天 , 我沒有工作 。
brownway: good morning .	布朗克:好早上 。
it's not too difficult to do that .	很難做到 。
how many followers have i gained ?	我收到多少遵守者 ?
today's its debut .	今天它的貢獻 。
and we have taken pictures like this .	我們拍了這樣的照片 。
tw: show me the data .	tw:給我看數據 。
thank you very much for your attention .	非常謝大家 。
and we're going to do it .	我們要做 。
well , wait a minute .	等一下 。
he doesn't need adam .	他不需要蒸發 。
so , how did it just do that ?	所以 , 它怎麼做 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這是鴨子 。
you see how this works , right ?	你可以看到這是怎麼運作的 , 對吧 ?
and be clearheaded about it .	很清楚 。
show me the evidence . "	讓我看到證據 。 」
we thought of people as a liability .	我們認為人是能力 。
he called them " partons . "	他稱之為 「 粒子 」 。
we actually have to do something about it .	我們必須做點什麼 。
and the other way is to share stories .	另一個方式就是分享故事 。
so here's the quiz .	這是安靜 。
that is how our women dress .	這就是我們女性的飲料 。
i've been that ahole .	我已經做到了 。
we should retain those people .	我們應該保持這些人 。
and this is where the story begins .	這是故事開始的地方 。
and so this is what i tell them .	這就是我告訴他們的 。
it's just the way it is .	它只是這樣 。
it did have a ram pack .	它做了一個快速的包裹 。
ninetyseven percent .	90% 。
hk: yay .	hk:yay 。
and yeah , we're there .	是的 , 我們在那裡 。
now let's look to the future .	現在來看看未來 。
and they masturbated .	他們配對了 。
that's in the united states .	這是美國 。
that's what i want to know .	這就是我想要知道的 。
we're talking about our mind .	我們在談我們的思想 。
and he showed her the lever .	他給她看 。
i don't know the answers .	我不知道答案 。
right ? how do you capture that ?	對吧 ? 你要如何捕捉 ?
we got to our campsite .	我們必須去營養 。
he talked to me about his children .	他跟我談 。
now people had to take an action .	現在人們必須行動 。
that's an easy question , right ?	這是一個簡單的問題 , 對吧 ?
what about the rest of the pie ?	怎麼回事 ?
nn: thank you for asking .	n:謝 。
why am i telling you this story ?	為什麼我要告訴你們這個故事 ?
now we say , oh , my god .	現在我們說 , 喔 , 我的天啊 。
" will my kid be all right ? "	「 我的孩子都是對的嗎 ? 」
the greenest class in new york city .	紐約的綠色教室 。
can never tell if it's on .	永遠不會說 。
phone: hey , where are you ?	電話:嘿 , 你在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音 。
oh , look how it lies there .	喔 , 看看那裡 。
gone , gone , gone .	來吧 , 去吧 。
the answer is: a power plant .	答案是:電廠 。
that's a great arm protection !	這是一個很棒的手臂保護 !
i write for those same reasons .	我寫了同樣的理由 。
everybody: i am my connectome .	大家:我是聯繫 。
so what happened in colombia ?	所以在哥倫比亞發生了什麼事 ?
what will brain theory look like ?	大腦理論會是什麼樣子 ?
titans need not apply .	組織需求不適用 。
" and you know , how about us ?	「 你知道嗎 ?
women lie more to protect other people .	女性更能保護其他人 。
so , how cheap is it ?	所以 , 便宜呢 ?
this fish actually has high beams .	這隻魚其實很高 。
and i remember thinking , this is it .	我記得 , 這是它 。
monkey has like you have .	猴子就像你一樣 。
bg: don't go away .	bg:不要離開 。
and we need to do their work now .	我們現在需要做的 。
and it looked kind of like this .	看起來像這樣 。
" why do you invest in new ideas ?	「 你為什麼投資新想法 ?
do you have safe housing ? "	你有安全嗎 ? 」
light is incredibly fast .	光是非常快 。
and the light goes through that hole .	光穿過那個洞 。
you can wait as long as you want .	你可以等待 。
i'm going to show you this .	我要給你們看 。
